Jogador,Clube Origem,Clube Destino
Jhoanner Chávez,Lens,EC Bahia
Jhon Jhon,SE Palmeiras,RB Bragantino
Jhon Jhon,SE Palmeiras,RB Bragantino
Jhonata Robert,Grêmio FBPA,Criciúma
Jhonnathan,Chapecoense,Santos FC
Jhonnathan,Santos FC,Chapecoense
Jhonny,Coritiba,Fluminense FC
Jhonny,Fluminense FC,Volta Redonda
Jhosefer,Cruzeiro EC,América-MG
Jhosefer,Cruzeiro U20,Cruzeiro EC
Joaquim,Santos FC,Tigres UANL
Joaquín Lavega,River Plate,Fluminense FC
Johan Caicedo,RB Bragantino,Deportivo Pasto
Johan Carbonero,Racing,SC Internacional
John Kennedy,Fluminense FC,Pachuca
John Lessa,EC Vitória,Barcelona-BA
John Lessa,Itabuna,EC Vitória
Jonathan Jesus,Ceará SC,Cruzeiro EC
Jonathan Jesus,Ceará SC,Cruzeiro EC
Jordan,Sport Recife,Brusque
Jorge,Santos FC,SE Palmeiras
Jorge,Santos FC,SE Palmeiras
Jorge Meurer,Gaúcho,Grêmio FBPA
Jorginho,Coimbra,Mirassol FC
Jorginho,Mirassol FC,Coimbra
José Aldo,Ituano,Mirassol FC
José Cifuentes,Cruzeiro EC,Rangers
José Martínez,Philadelphia,SC Corinthians
Jota,Bahia U20,EC Bahia
Jotavê,Ceará SC,Sem clube
João Basso,Estoril,Santos FC
João Fernandes,Santos U20,Santos FC
João Lucas,EC Juventude,Santos FC
João Lucas,Juventude,Santos FC
João Lucas,Santos FC,Grêmio FBPA
João Lucas,Santos FC,Grêmio FBPA
João Marcelo,Cruzeiro EC,FC Porto B
João Marcelo,FC Porto B,Cruzeiro EC
João Marcelo,Guarani,Atlético Mineiro
João Moreira,São Paulo FC,FC Porto B
João Neto,CRB,Fluminense FC
João Neto,Famalicão S23,RB Bragantino
João Neto,Fluminense FC,Portimonense
João Pedro,CRB,EC Vitória
João Pedro,Cruzeiro EC,Mirassol
João Pedro,Cruzeiro EC,Mirassol FC
João Pedro,Cruzeiro EC,Tombense
João Pedro,EC Vitória,Kyoto Sanga
João Pedro,Grêmio FBPA,Fenerbahce
João Pedro,Mirassol,Cruzeiro EC
João Pedro,Mirassol FC,Cruzeiro EC
João Silva,KV Kortrijk,Sport Recife
João Vitor,EC Juventude,Monsoon
Juan,São Paulo FC,Southampton
Juan Cazares,Santos FC,Paysandu
Juan Dinenno,Cruzeiro EC,São Paulo FC
Juan Dinenno,Cruzeiro EC,São Paulo FC
Juan Pablo Freytes,Alianza Lima,Fluminense FC
Juan Xavier,Botafogo-PB,Sport Recife
Juan Xavier,Jaguar-PE,Sport Recife
Juan Xavier,Sport Recife,ASA
Juan Xavier,Sport Recife,Jaguar-PE
Julián Fernández,Newell's,Sport Recife
Julián Fernández,Sport Recife,Newell's
Juninho,Midtjylland,SC Internacional
Juninho,Qarabağ,CR Flamengo
Júlio Cesar,Atlético Mineiro,Joinville
Júlio Cesar,Santo André,Atlético Mineiro
Júnior Alonso,Krasnodar,Atlético Mineiro
Júnior Santos,Botafogo FR,Atlético Mineiro
Júnior Santos,Botafogo FR,Atlético Mineiro
Kaio Jorge,Juventus,Cruzeiro EC
Kaique,Ceará SC,Flamengo-SP U20
Kaique Kenji,Cruzeiro U20,Cruzeiro EC
Kaique Pereira,SE Palmeiras,Farense
Kaique Rocha,Athletico Paranaense,SC Internacional
Kauan,Inter U20,SC Internacional
Kauan,Mirassol FC,Prudente-SP
Kauan,Náutico,Mirassol FC
Kauan Lindes,Coimbra U20,Botafogo FR
Kauan Rodrigues,Fortaleza EC,Atlético-GO
Kauã Elias,Fluminense FC,Shakhtar
Kauã Prates,Cruzeiro U17,Cruzeiro EC
Kauê,Corinthians U20,SC Corinthians
Kawan,Botafogo FR,EC Juventude
Kawan,Botafogo FR,Juventude
Kawan,Botafogo U23,Botafogo FR
Kayke,Botafogo U20,Botafogo FR
Kayke,Corinthians U20,SC Corinthians
Kayky,Man City U21,EC Bahia
Kayque,Botafogo FR,Spartak
Kayque,Guarani,Botafogo FR
Keiller,SC Internacional,Ceará SC
Keiller,SC Internacional,Ceará SC
Kelvi Gomes,Concórdia,EC Juventude
Kelvi Gomes,EC Juventude,Guarani
Kelvyn,Ceará SC,Caxias
Kelvyn,Chapecoense,Ceará SC
Kevin Lomónaco,RB Bragantino,Independiente
Kevin Lomónaco,Tigre,RB Bragantino
Kevin Serna,Alianza Lima,Fluminense FC
Kleiton Pego,EC Juventude,Tombense
Lautaro Díaz,Independiente,Cruzeiro EC
Leandrinho,CR Vasco da Gama,Al-Shabab
Leandrinho,Cianorte,RB Bragantino
Leandrinho,RB Bragantino,Sem clube
Leandro Mathias,São Paulo U20,São Paulo FC
Lelê,Ceará SC,Fluminense FC
Lelê,Ceará SC,Fluminense FC
Lelê,Fluminense FC,Ceará SC
Lelê,Fluminense FC,Ceará SC
Lenny Lobato,Vélez Sarsfield,Sport Recife
Leonan Santos,Capivariano,Mirassol FC
Leonardo Godoy,Athletico Paranaense,Santos FC
Leonardo Zabala,Santos FC,Cancún FC
Leonel Di Plácido,Lanús,Sport Recife
Lincoln,RB Bragantino,Fenerbahce
Liziero,Yverdon Sport,São Paulo FC
Loide Augusto,Alanyaspor,CR Vasco da Gama
Luan,EC Vitória,São Paulo FC
Luan,EC Vitória,São Paulo FC
Luan,SE Palmeiras,Toluca
Luan Cândido,RB Bragantino,Grêmio FBPA
Luan Cândido,RB Bragantino,Grêmio FBPA
Luan Peres,Fenerbahce,Santos FC
Luca Meirelles,Santos U20,Santos FC
Luca Orellano,CR Vasco da Gama,Cincinnati
Luca Orellano,Cincinnati,CR Vasco da Gama
Lucas Alario,SC Internacional,Estudiantes LP
Lucas André,Sport Recife,Barra
Lucas Barbosa,EC Juventude,Santos FC
Lucas Barbosa,Juventude,Santos FC
Lucas Barbosa,Santos FC,RB Bragantino
Lucas Barbosa,Santos FC,RB Bragantino
Lucas Besozzi,Grêmio FBPA,Lanús
Lucas Braga,Santos FC,EC Vitória
Lucas Braga,Santos FC,EC Vitória
Lucas Braga,Shimizu S-Pulse,Santos FC
Lucas Cunha,RB Bragantino,Sport
Lucas Cunha,RB Bragantino,Sport Recife
Lucas Eduardo,CR Vasco da Gama,Cuiabá
Lucas Eduardo,Vasco U20,CR Vasco da Gama
Lucas Esteves,EC Vitória,Grêmio FBPA
Lucas Esteves,EC Vitória,Grêmio FBPA
Lucas Evangelista,RB Bragantino,SE Palmeiras
Lucas Evangelista,RB Bragantino,SE Palmeiras
Lucas Fernandes,Botafogo FR,Portimonense
Lucas Ferreira,São Paulo U20,São Paulo FC
Lucas Freitas,EC Juventude,SE Palmeiras
Lucas Freitas,Juventude,SE Palmeiras
Lucas Freitas,SE Palmeiras,CR Vasco da Gama
Lucas Freitas,SE Palmeiras,CR Vasco da Gama
Lucas Gazal,Mirassol FC,Atlético-GO
Lucas Halter,Botafogo FR,EC Vitória
Lucas Halter,Botafogo FR,EC Vitória
Lucas Lima,Santos FC,Sport
Lucas Lima,Santos FC,Sport Recife
Lucas Lima,Sport,Santos FC
Lucas Lima,Sport Recife,Santos FC
Lucas Lima,São Bernardo,Ceará SC
Lucas Mezenga,Botafogo FR,Al-Orooba
Lucas Mezenga,CD Tondela,Botafogo FR
Lucas Mila,Grêmio FBPA,Tombense
Lucas Oliveira,ABC,CR Vasco da Gama
Lucas Oliveira,CR Vasco da Gama,Nacional-AM
Lucas Oliveira,Cruzeiro EC,CR Vasco da Gama
Lucas Oliveira,Cruzeiro EC,CR Vasco da Gama
Lucas Oliveira,Cruzeiro EC,Kyoto Sanga
Lucas Oliveira,Kyoto Sanga,Cruzeiro EC
Lucas Oliveira,Valladolid,Cruzeiro EC
Lucas Pires,Cádiz CF,Santos FC
Lucas Pires,Santos FC,FC Burnley
Lucas Ramos,Auda,SC Internacional
Lucas Ramos,SC Internacional,Ypiranga-RS
Lucas Rian,Ceará SC,Matsumoto Yama.
Lucas Rian,Ceará SC,São Bernardo
Lucas Rian,Matsumoto Yama.,Ceará SC
Lucas Rian,Matsumoto Yama.,Ceará SC
Lucas Ribeiro,Ceará SC,Goiás
Lucas Ribeiro,Goiás,Ceará SC
Lucas Silva,Marítimo,Mirassol FC
Lucas Silva,Mirassol FC,FC Seoul
Lucas Villalba,Argentinos Jrs.,Cruzeiro EC
Lucas Villalba,Cruzeiro EC,Argentinos Jrs.
Lucas Wingert,EC Juventude,Operário-PR
Lucca,São Paulo U20,São Paulo FC
Luciano,Sport Recife,Ypiranga-RS
Luciano Castán,Sport Recife,Criciúma
Luciano Rodríguez,Liverpool FC,EC Bahia
Luighi,Palmeiras U20,SE Palmeiras
Luis Benedetti,Palmeiras U20,SE Palmeiras
Luis Orejuela,Indep. Medellín,São Paulo FC
Luis Orejuela,São Paulo FC,Sem clube
Luis Otávio,Inter U17,SC Internacional
Luis Segovia,Botafogo FR,CRB
Luis Segovia,Botafogo FR,CRB
Luis Segovia,CRB,Botafogo FR
Luisão,Novorizontino,Santos FC
Luiz Adriano,EC Vitória,Sem clube
Luiz Daniel,Ceará SC,Londrina
Luiz Daniel,Floresta,Ceará SC
Luiz Felipe,Santos FC,Goiás
Luiz Filipe,Atlético Mineiro,Mirassol
Luiz Filipe,Atlético Mineiro,Mirassol FC
Luiz Filipe,São Bernardo,Atlético Mineiro
Luiz Gustavo,Vasco U20,CR Vasco da Gama
Luiz Henrique,Botafogo FR,Zenit
Luiz Henrique,Ipatinga,Santos FC
Luiz Henrique,Santos FC,São Joseense
Luquinhas,Fortaleza EC,Legia Varsóvia
Luís Guilherme,SE Palmeiras,West Ham
Luís Oyama,Botafogo FR,Novorizontino
Luís Oyama,EC Juventude,Botafogo FR
Luís Oyama,Juventude,Botafogo FR
Lyanco,Southampton,Atlético Mineiro
Lázaro,SE Palmeiras,UD Almería
Léo,CR Vasco da Gama,Athletico Paranaense
Léo Cittadini,SH Port,EC Bahia
Léo Gamalho,EC Vitória,Mirassol
Léo Gamalho,EC Vitória,Mirassol FC
Léo Linck,Athletico Paranaense,Botafogo FR
Léo Naldi,EC Vitória,Atlético-GO
Léo Natel,Melbourne City,SC Corinthians
Léo Natel,SC Corinthians,Pafos
Léo Pereira,CRB,EC Vitória
Léo Rafael,Ceará SC,Sem clube
Léo Rafael,Ceará SC,Villa Nova
Léo Rafael,Ferroviário,Ceará SC
Léo Rafael,Villa Nova,Ceará SC
Léo Realpe,RB Bragantino,Famalicão
MT,CR Vasco da Gama,Santa Clara
MT,Santa Clara,CR Vasco da Gama
Maceió,Portuguesa,Mirassol FC
Magrão,Rio Ave,Fortaleza EC
Maicon,CR Vasco da Gama,Coritiba
Manuel Capasso,Olimpia,CR Vasco da Gama
Marcelinho,EC Juventude,Tombense
Marcelo,Fluminense FC,Sem clube
Marcelo Ajul,Jaguar-PE,Sport Recife
Marcelo Ajul,Maguary,Sport Recife
Marcelo Ajul,Sport Recife,Athletic
Marcelo Ajul,Sport Recife,Jaguar-PE
Marcelo Ajul,Sport Recife,Vitória-PE
Marcelo Ajul,Vitória-PE,Sport Recife
Marcelo Benevenuto,Coritiba,Fortaleza EC
Marcelo Benevenuto,Fortaleza EC,Criciúma
Marcelo Pitaluga,Liverpool,Fluminense FC
Marco Antônio,EC Vitória,Londrina
Marco Antônio,Náutico,EC Vitória
Marcos Antônio,Lazio,São Paulo FC
Marcos Paulo,Ceará SC,Taquaritinga
Marcos Paulo,Maricá,Ceará SC
Marcos Paulo,Nova Iguaçu,EC Juventude
Marcos Victor,Athletico Paranaense,EC Bahia
Marcos Victor,EC Bahia,Athletico Paranaense
Marcos Victor,EC Bahia,Ceará SC
Marcos Victor,EC Bahia,Ceará SC
Marcão,Amazonas,EC Juventude
Mariano,Atlético Mineiro,América-MG
Marllon,Cuiabá,Ceará SC
Marlon,Cruzeiro EC,Grêmio FBPA
Marlon,Cruzeiro EC,Grêmio FBPA
Marlon,Fluminense FC,Shakhtar
Marquinhos,Arsenal,Cruzeiro EC
Marquinhos,CSA,Mirassol FC
Marquinhos,Fluminense FC,Arsenal
Marquinhos,Mirassol FC,Volta Redonda
Martin Braithwaite,Espanyol,Grêmio FBPA
Marçal,Botafogo FR,Sem clube
Marçal,Sem clube,Botafogo FR
Mateo Gamarra,Athletico Paranaense,Cruzeiro EC
Mateus Claus,EC Juventude,Sem clube
Mateus Gonçalves,EC Vitória,Goiás
Mateus Vital,Cruzeiro EC,SH Port
Mateus Xavier,Santos U20,Santos FC
Matheus Alexandre,Cuiabá,Sport Recife
Matheus Alves,São Paulo U20,São Paulo FC
Matheus Araújo,SC Corinthians,Ceará SC
Matheus Araújo,SC Corinthians,Ceará SC
Matheus Babi,Athletico Paranaense,EC Juventude
Matheus Belém,São Paulo FC,Chapecoense
Matheus Bianqui,Coritiba,Mirassol FC
Matheus Cadorini,Ituano,SC Internacional
Matheus Cadorini,SC Internacional,Real Murcia
Matheus Davó,América-MG,Cruzeiro EC
Matheus Davó,Cruzeiro EC,Mirassol
Matheus Davó,Cruzeiro EC,Mirassol FC
Matheus Davó,Mirassol FC,Remo
Matheus Davó,Pafos,Cruzeiro EC
Matheus Dias,SC Internacional,Nacional
Matheus Felipe,Ceará SC,Athletico Paranaense
Matheus Henrique,Sassuolo,Cruzeiro EC
Matheus Martins,Udinese,Botafogo FR
Matheus Mendes,Atlético Mineiro,América-MG
Matheus Nascimento,Botafogo FR,LA Galaxy
Matheus Pereira,Al-Hilal,Cruzeiro EC
Matheus Pereira,Cruzeiro EC,Al-Hilal
Matheus Pereira,Eibar,Fortaleza EC
Matheus Sales,Ulsan HD,Mirassol FC
Matheus Teixeira,Criciúma,EC Bahia
Matheus Teixeira,EC Bahia,Rio Ave
Matheus Vargas,EC Juventude,Buriram Utd.
Matías Arezo,Granada CF,Grêmio FBPA
Matías Galarza,CA Talleres,CR Vasco da Gama
Matías Galarza,CR Vasco da Gama,CA Talleres
Matías Segovia,Botafogo FR,Al-Ain
Matías Segovia,RWDM,Botafogo FR
Matías Zaracho,Atlético Mineiro,Racing
Mauricio,SC Internacional,SE Palmeiras
Mauricio,SC Internacional,SE Palmeiras
Mauricio Kozlinski,Fortaleza EC,Vila Nova
Mauricio Lemos,Atlético Mineiro,CR Vasco da Gama
Mauricio Lemos,Atlético Mineiro,CR Vasco da Gama
Maurício Garcez,Avaí,EC Juventude
Maxime Dominguez,CR Vasco da Gama,Toronto
Maxime Dominguez,Gil Vicente,CR Vasco da Gama
Maycon Cleiton,Ceará SC,EC Vitória
Maycon Cleiton,Ceará SC,EC Vitória
Maycon Cleiton,EC Vitória,Portimonense
Maykon Jesus,Atlético Mineiro,EC Vitória
Maykon Jesus,Atlético Mineiro,EC Vitória
Maykon Jesus,Atlético Mineiro,Noroeste
Maykon Jesus,Atlético-MG U20,Atlético Mineiro
Maykon Jesus,Noroeste,Atlético Mineiro
Memphis Depay,Sem clube,SC Corinthians
Micael,Houston,SE Palmeiras
Michael,Al-Hilal,CR Flamengo
Michel,SE Palmeiras,Moreirense
Michel Araújo,Fluminense FC,São Paulo FC
Michel Araújo,Fluminense FC,São Paulo FC
Michel Araújo,São Paulo FC,EC Bahia
Michel Araújo,São Paulo FC,EC Bahia
Michel Araújo,São Paulo FC,Fluminense FC
Michel Araújo,São Paulo FC,Fluminense FC
Miguel Monsalve,Indep. Medellín,Grêmio FBPA
Miguelito,Santos FC,América-MG
Miqueias,EC Bahia,América-MG
Miqueias,Ituano,EC Bahia
Miranda,Amazonas,CR Vasco da Gama
Miranda,CR Vasco da Gama,CRB
Mohamed El Arouch,Botafogo FR,Sem clube
Mohamed El Arouch,Lyon,Botafogo FR
Muriel,EC Vitória,Náutico
Murilo Rhikman,Cruzeiro U20,Cruzeiro EC
Natanael,Coritiba,Atlético Mineiro
Nathan,Famalicão,Santos FC
Nathan,Santos FC,SC Internacional
Nathan,Santos FC,SC Internacional
Nathan Fernandes,Grêmio FBPA,Botafogo FR
Nathan Fernandes,Grêmio FBPA,Botafogo FR
Natã,Grêmio FBPA,EC Juventude
Natã,Grêmio FBPA,Juventude
Neris,Cruzeiro EC,EC Vitória
Neris,Cruzeiro EC,EC Vitória
Neto,Villa Nova,Atlético Mineiro
Neto Moura,Cruzeiro EC,Mirassol
Neto Moura,Cruzeiro EC,Mirassol FC
Neto Moura,Mirassol,Cruzeiro EC
Neto Moura,Mirassol FC,Cruzeiro EC
Newton,Criciúma,Botafogo FR
Neymar,Al-Hilal,Santos FC
Nicolas,América-MG,Ceará SC
Nicolás Acevedo,EC Bahia,New York City
Nicolás Acevedo,New York City,EC Bahia
Nikão,Athletico Paranaense,São Paulo FC
Nikão,São Paulo FC,GD GZ-Power
Nonato,Santos FC,Fluminense FC
Nonato,Santos FC,Fluminense FC
Nuno Moreira,Casa Pia,CR Vasco da Gama
Oscar,SH Port,São Paulo FC
Otávio,Atlético Mineiro,Fluminense FC
Otávio,Atlético Mineiro,Fluminense FC
Otávio Costa,Cruzeiro U20,Cruzeiro EC
PH,Mirassol FC,Noroeste
PK,EC Vitória,Paysandu
Pablo,Athletico Paranaense,Sport Recife
Pablo,Botafogo FR,CR Flamengo
Pablo,Botafogo FR,CR Flamengo
Pablo,Ceará SC,Treze
Pablo,EC Vitória,Guarani
Pablo,Treze,Ceará SC
Pablo,Vitória U20,EC Vitória
Pablo Dyego,Sport Recife,Novorizontino
Pablo Galdames,CR Vasco da Gama,Independiente
Patrick,Palmeiras U20,Atlético Mineiro
Patrick,Santos FC,Athletico Paranaense
Patrick de Lucca,CR Vasco da Gama,Cuiabá
Patrick de Lucca,Ceará SC,CR Vasco da Gama
Patrick de Lucca,Ceará SC,CR Vasco da Gama
Patrick de Paula,Botafogo FR,Criciúma
Patrick de Paula,Criciúma,Botafogo FR
Paulinho,Atlético Mineiro,SE Palmeiras
Paulinho,Atlético Mineiro,SE Palmeiras
Paulinho,Botafogo-PB,Sport Recife
Paulinho,SC Corinthians,Fim de carreira
Paulinho,Sport Recife,Oeste
Paulinho,Vasco U20,CR Vasco da Gama
Paulinho Bóia,Mirassol FC,Paysandu
Paulo Baya,Primavera,Fluminense FC
Paulo Victor,Ceará SC,SC Internacional
Paulo Victor,Ceará SC,SC Internacional
Paulo Victor,SC Internacional,Farense
Paulo Vitor,Atlético Mineiro,Criciúma
Paulo Vítor,Cruzeiro EC,Portimonense
Paulo Vítor,Novorizontino,Cruzeiro EC
Pedrinho,Atlético Mineiro,Shakhtar
Pedrinho,Avaí,Ceará SC
Pedrinho,Ceará SC,Seoul E-Land
Pedrinho,SC Corinthians,Wydad AC
Pedrinho,Santos FC,Loko Moscou
Pedro Bez,EC Juventude,Marcílio Dias
Pedro Bez,EC Juventude,Portimonense 23
Pedro Bez,Portimonense 23,EC Juventude
Pedro Bicalho,Alverca,SE Palmeiras
Pedro Geromel,Grêmio FBPA,Fim de carreira
Pedro Henrique,SC Corinthians,Ceará SC
Pedro Henrique,SC Corinthians,Ceará SC
Pedro Lima,Norwich U21,SE Palmeiras
Pedro Lima,SE Palmeiras,NK Osijek
Pedro Lima,Sport Recife,Wolves
Pedro Martins,Sport Recife,Chapecoense
Pedro Rangel,Atlético-GO,Fluminense FC
Pedro Rangel,Fluminense FC,Coritiba
Pedro Raul,SC Corinthians,Ceará SC
Pedro Raul,SC Corinthians,Ceará SC
Pedro Rocha,Criciúma,Fortaleza EC
Pedro Rocha,Fortaleza EC,Criciúma
Pedro Rocha,Fortaleza EC,Remo
Pedro Vilhena,Ponte Preta,São Paulo FC
Pedro Vilhena,Sport,São Paulo FC
Pedro Vilhena,Sport Recife,São Paulo FC
Pedro Vilhena,São Paulo FC,Ponte Preta
Pedrão,Cruzeiro EC,Avaí
Pepê,Grêmio FBPA,EC Vitória
Pepê,Grêmio FBPA,EC Vitória
Petterson,Athletico Paranaense,CR Flamengo
Petterson,CR Flamengo,EC Juventude
Petterson,CR Flamengo,Estrela Amadora
Petterson,CR Flamengo,Juventude
Petterson,Estrela Amadora,CR Flamengo
Philipe Sampaio,Atlético-GO,Botafogo FR
Philipe Sampaio,Botafogo FR,Atlético-GO
Philipe Sampaio,RWDM,Botafogo FR
Philippe Coutinho,Aston Villa,CR Vasco da Gama
Pol Fernández,Boca Juniors,Fortaleza EC
Praxedes,Athletico Paranaense,RB Bragantino
Praxedes,CR Vasco da Gama,RB Bragantino
Praxedes,CR Vasco da Gama,RB Bragantino
Praxedes,RB Bragantino,Athletico Paranaense
Quirino,Mirassol FC,Ferroviária
Rafa Silva,Cruzeiro EC,Mirassol
Rafa Silva,Cruzeiro EC,Mirassol FC
Rafael,Botafogo FR,Fim de carreira
Rafael Bilu,Cruzeiro EC,CRB
Rafael Cabral,Cruzeiro EC,Salt Lake
Rafael Cabral,Grêmio FBPA,Cruzeiro EC
Rafael Cabral,Grêmio FBPA,Cruzeiro EC
Rafael Elias,Cruzeiro EC,Kyoto Sanga
Rafael Elias,Cruzeiro EC,Kyoto Sanga
Rafael Elias,Kyoto Sanga,Cruzeiro EC
Rafael Lobato,Botafogo U20,Botafogo FR
Rafael Navarro,Colorado,SE Palmeiras
Rafael Navarro,SE Palmeiras,Colorado
Rafael Ramos,Ceará SC,SC Corinthians
Rafael Ramos,Ceará SC,SC Corinthians
Rafael Ramos,SC Corinthians,Ceará SC
Rafael Ramos,SC Corinthians,Ceará SC
Rafael Ratão,EC Bahia,Cerezo Osaka
Rafael Silva,Inter Limeira,Mirassol FC
Rafael Silva,Mirassol FC,Inter Limeira
Rafinha,Ceará SC,Tombense
Rafinha,Chapecoense,EC Juventude
Rafinha,EC Juventude,Chapecoense
Rafinha,EC Juventude,Fim de carreira
Rafinha,São Paulo FC,Coritiba
Rafinha,Tombense,Ceará SC
Ramiro,Cruzeiro EC,Dallas
Ramon,Olympiacos,SC Internacional
Raul,RB Bragantino,Athletico Paranaense
Raul Gustavo,SC Corinthians,Ferencváros
Raí,Boavista,Botafogo FR
Raí,Botafogo FR,Boavista
Raí,Botafogo FR,Volta Redonda
Raí,CRB,Botafogo FR
Raí Ramos,Ceará SC,São Paulo FC
Raí Ramos,Ceará SC,São Paulo FC
Raí Ramos,São Paulo FC,Atlético-GO
Reginaldo,Ordabasy,EC Juventude
Reinaldo,Grêmio FBPA,Mirassol
Reinaldo,Grêmio FBPA,Mirassol FC
Renan,EC Juventude,Sport
Renan,Juventude,Sport Recife
Renan,Santos FC,Amazonas
Renan,Sport,Santos FC
Renan,Sport Recife,Santos FC
Renato Augusto,Fluminense FC,Sem clube
Renato Kayzer,Fortaleza EC,EC Vitória
Renato Kayzer,Fortaleza EC,EC Vitória
Renato Santos,Corinthians U20,SC Corinthians
Renato Santos,SC Corinthians,Atlético-GO
Renê,SC Internacional,Fluminense FC
Renê,SC Internacional,Fluminense FC
Reynaldo,EC Vitória,Coritiba
Ricardo Mathias,Inter U20,SC Internacional
Ricardo Ryller,Al-Fayha,EC Vitória
Rildo,EC Juventude,Santa Clara
Riquelme,Fluminense U20,Fluminense FC
Riquelme,Sport,CR Vasco da Gama
Riquelme,Sport Recife,CR Vasco da Gama
Riquelmy,Cruzeiro EC,Betim Futebol
Riquelmy,Londrina,Cruzeiro EC
Robert,Atlético-MG U20,Atlético Mineiro
Robert,Copenhague,Cruzeiro EC
Robert,Cruzeiro EC,Copenhague
Robert,Cruzeiro EC,Copenhague
Robert Renan,SC Internacional,Zenit
Robert Rojas,CR Vasco da Gama,River Plate
Robert Santos,Athletic,Atlético Mineiro
Robert Santos,Atlético Mineiro,Athletic
Robert Santos,Atlético Mineiro,Atlético-GO
Roberto Fernández,Botafogo FR,Cerro Porteño
Roberto Rosales,Sport Recife,Táchira
Robson Reis,Náutico,Santos FC
Robson Reis,Santos FC,Retrô
Rodrigo,CR Vasco da Gama,Bandirma Spor
Rodrigo Andrade,EC Vitória,Goiás
Rodrigo Andrade,EC Vitória,Mirassol
Rodrigo Andrade,EC Vitória,Mirassol FC
Rodrigo Andrade,Mirassol,EC Vitória
Rodrigo Andrade,Mirassol FC,EC Vitória
Rodrigo Atencio,Independiente,Sport Recife
Rodrigo Battaglia,Atlético Mineiro,Boca Juniors
Rodrigo Bazilio,Athletic,Cruzeiro EC
Rodrigo Bazilio,Cruzeiro EC,Joinville
Rodrigo Bazilio,Cruzeiro EC,Joinville
Rodrigo Bazilio,Joinville,Cruzeiro EC
Rodrigo Caio,Grêmio FBPA,Fim de carreira
Rodrigo Fernández Cedrés,Newell's,Santos FC
Rodrigo Fernández Cedrés,Santos FC,Independiente
Rodrigo Ferreira,Santos FC,São Bernardo
Rodrigo Nestor,São Paulo FC,EC Bahia
Rodrigo Nestor,São Paulo FC,EC Bahia
Rodrigo Santos,Maringá,Fortaleza EC
Rodriguinho,América-MG,Cruzeiro EC
Romércio,EC Juventude,Botafogo-PB
Ronald,Criciúma,Fortaleza EC
Ronald,Fortaleza EC,EC Vitória
Ronald,Fortaleza EC,EC Vitória
Ronaldo,Atlético-GO,EC Bahia
Ronaldo,EC Juventude,SC Internacional
Ronaldo,Juventude,SC Internacional
Ronaldo,Sem clube,EC Juventude
Roni,Atlético-GO,SC Corinthians
Roni,SC Corinthians,Mirassol
Roni,SC Corinthians,Mirassol FC
Ronie Carrillo,EC Juventude,Botafogo-SP
Ronie Carrillo,EC Juventude,Inter Limeira
Ronie Carrillo,Inter Limeira,EC Juventude
Ronie Carrillo,Portimonense,EC Juventude
Rony,SE Palmeiras,Atlético Mineiro
Rony,SE Palmeiras,Atlético Mineiro
Rossi,CR Vasco da Gama,Paysandu
Ruan,EC Juventude,Portimonense
Ruan,Sassuolo,São Paulo FC
Ruan Carneiro,Figueirense,EC Juventude
Ruan Nascimento,Confiança,EC Vitória
Ruan Nascimento,EC Vitória,Itabuna
Ruan Nascimento,Itabuna,EC Vitória
Ruan Oliveira,SC Corinthians,Metropolitano
Ruan Ribeiro,Inter Limeira,SE Palmeiras
Ruan Ribeiro,Paysandu,SE Palmeiras
Ruan Ribeiro,SE Palmeiras,Inter Limeira
Ruan Ribeiro,SE Palmeiras,Vila Nova
Ruan Santos,Cruzeiro EC,Al-Bataeh CSC
Ruan Santos,Vila Nova,Cruzeiro EC
Rubens,Chapecoense,Grêmio FBPA
Rubens,Grêmio FBPA,Chapecoense
Rubén Lezcano,Libertad,Fluminense FC
Rwan Cruz,Ludogorets,Botafogo FR
Rwan Cruz,Ludogorets,Santos FC
Ryan Carlos,CRB,EC Bahia
Ryan Carlos,EC Bahia,CRB
Ryan Carlos,EC Bahia,Chornomorets
Ryan Francisco,São Paulo U20,São Paulo FC
Rómulo Otero,Santos FC,Nacional
Rômulo,SC Internacional,Tigres UANL
Rômulo,SE Palmeiras,Ceará SC
Rômulo,SE Palmeiras,Ceará SC
Sammuel,ABC,Fortaleza EC
Sammuel,Fortaleza EC,ASA
Sandry,Santos FC,Athletic
Santiago Longo,Belgrano,São Paulo FC
Santiago Longo,São Paulo FC,Belgrano
Santiago Ramos Mingo,Def y Justicia,EC Bahia
Santiago Rodríguez,New York City,Botafogo FR
Santos,Fortaleza EC,Athletico Paranaense
Saulo Mineiro,Ceará SC,SH Shenhua
Serafim,Botafogo U20,Botafogo FR
Serginho,CR Vasco da Gama,Criciúma
Serginho,CR Vasco da Gama,Karagümrük
Serginho,Criciúma,CR Vasco da Gama
Serginho,Santos FC,Maringá
Souza,Basaksehir,CR Vasco da Gama
Stevanato,Hercílio Luz,São Paulo FC
Stênio,AVS,Cruzeiro EC
Stênio,Cruzeiro EC,Karpaty Lviv
Sérgio Oliveira,Olympiacos,Sport Recife
Tailson,Santos FC,ACSM Poli Iasi
Talisson,Ceará SC,RB Bragantino
Talisson,Ceará SC,RB Bragantino
Talisson,RB Bragantino,Ceará SC
Talisson,RB Bragantino,Ceará SC
Talisson,RB Bragantino,Criciúma
Talles Magno,New York City,SC Corinthians
