Jogador,Clube Origem,Clube Destino
Caio Rafael,Ceará SC,Londrina
Caio Roque,EC Bahia,Volta Redonda
Caio Roque,Londrina,EC Bahia
Caio Vinicius,EC Vitória,Remo
Calegari,Fluminense FC,Famalicão
Camilo,Akhmat Grozny,Grêmio FBPA
Campanharo,Atlético-GO,SC Internacional
Campanharo,SC Internacional,Sem clube
Camutanga,EC Vitória,Remo
Carlinhos,CR Flamengo,EC Vitória
Carlinhos,CR Flamengo,EC Vitória
Carlos Alberto,Botafogo FR,Sport
Carlos Alberto,Botafogo FR,Sport Recife
Carlos Alberto,RWDM,Botafogo FR
Carlos Alcaraz,CR Flamengo,Everton
Carlos Alcaraz,Southampton,CR Flamengo
Carlos Eduardo,Alanyaspor,EC Vitória
Carlos Eduardo,EC Vitória,Mirassol
Carlos Eduardo,EC Vitória,Mirassol FC
Carlos Miguel,SC Corinthians,Nott'm Forest
Carlos de Pena,EC Bahia,Sem clube
Cauan Barros,Amazonas,CR Vasco da Gama
Cauan Barros,CR Vasco da Gama,América-MG
Cauã Paixão,CR Vasco da Gama,Polissya
Cauã Paixão,Vasco U20,CR Vasco da Gama
Caíque,Grêmio FBPA,Criciúma
Charles,Midtjylland,SC Corinthians
Charles Aránguiz,SC Internacional,U. de Chile
Chay,Botafogo FR,CRB
Chay,Botafogo FR,Volta Redonda
Chay,CRB,Botafogo FR
Chay,Guarani,Botafogo FR
Christian,Athletico Paranaense,Cruzeiro EC
Christian Rivera,Club Tijuana,Sport Recife
Chumbinho,Bragantino U20,RB Bragantino
Cicinho,EC Bahia,Noroeste
Cipriano,APOEL Nicósia,EC Juventude
Cipriano,APOEL Nicósia,Fluminense FC
Cipriano,Fluminense FC,APOEL Nicósia
Claudinho,Confiança,Cruzeiro EC
Claudinho,Criciúma,EC Vitória
Claudinho,Cruzeiro EC,Sem clube
Clayson,Cuiabá,Mirassol FC
Clayson,Mirassol FC,Coritiba
Clayton,AVS,SC Internacional
Clayton,CR Vasco da Gama,Rio Ave
Cléber,Ceará SC,Avaí
Cristian,Anápolis,Ceará SC
Cristian,Ceará SC,Alverca
Cristian Olivera,LAFC,Grêmio FBPA
Cristian Renato,Figueirense,Mirassol FC
Cristian Renato,Joinville,Mirassol FC
Cristian Renato,Mirassol FC,Joinville
Cristian Zapata,EC Vitória,A. Bucaramanga
Cássio,SC Corinthians,Cruzeiro EC
Cássio,SC Corinthians,Cruzeiro EC
Cédric Soares,Sem clube,São Paulo FC
César Augusto,Ceará SC,Nacional
César Augusto,Ceará SC,Nacional
César Augusto,Nacional,Ceará SC
César Haydar,Deportes Tolima,RB Bragantino
César Haydar,Kawasaki Front.,RB Bragantino
César Haydar,RB Bragantino,Kawasaki Front.
César Haydar,RB Bragantino,Kawasaki Front.
Da Silva,Aparecidense,Mirassol FC
Damián Suárez,Botafogo FR,Sem clube
Daniel Borges,América-MG,Botafogo FR
Daniel Borges,Botafogo FR,Mirassol
Daniel Borges,Botafogo FR,Mirassol FC
Daniel Cabral,CR Flamengo,Estrela Amadora
Daniel Fuzato,Eibar,CR Vasco da Gama
Daniel Giraldo,Millonarios,EC Juventude
Daniel Jr,América-MG,EC Vitória
Daniel Jr,EC Vitória,América-MG
Daniel Jr,EC Vitória,Portuguesa
Daniel Jr,Portuguesa,EC Vitória
Daniel Mazerochi,Treze,Ceará SC
Danielzinho,Atlético-GO,Fluminense FC
Danielzinho,Fluminense FC,Dibba Al-Hisn
Danilo,Juventus,CR Flamengo
Danilo Boza,EC Juventude,Urawa Reds
Davi Góes,Juventude U20,EC Juventude
Davi Schuindt,Fluminense U20,Fluminense FC
David,CR Vasco da Gama,SC Internacional
David,CR Vasco da Gama,SC Internacional
David,SC Internacional,CR Vasco da Gama
David,SC Internacional,CR Vasco da Gama
David Braz,Goiás,Mirassol FC
David Luiz,CR Flamengo,Fortaleza EC
David Luiz,CR Flamengo,Fortaleza EC
David Ricardo,Ceará SC,Botafogo FR
David Ricardo,Ceará SC,Botafogo FR
David Terans,Fluminense FC,Peñarol
David da Hora,Coritiba,EC Juventude
David da Hora,EC Juventude,Coritiba
Deivid Washington,Chelsea U21,Santos FC
Dellatorre,Mirassol FC,Coritiba
Denival,Pouso Alegre,Sport Recife
Denival,Sport Recife,Linense
Deyverson,Atlético Mineiro,Fortaleza EC
Deyverson,Atlético Mineiro,Fortaleza EC
Deyverson,Cuiabá,Atlético Mineiro
Diego Costa,Grêmio FBPA,Sem clube
Diego Costa,São Paulo FC,Krasnodar
Diego Gonçalves,EC Juventude,Mirassol
Diego Gonçalves,Juventude,Mirassol FC
Diego Gonçalves,Mirassol,EC Juventude
Diego Gonçalves,Mirassol FC,Criciúma
Diego Gonçalves,Mirassol FC,Juventude
Diego Hernández,Botafogo FR,Everton
Diego Hernández,Botafogo FR,León
Diego Hernández,León,Botafogo FR
Diego Rosa,EC Bahia,SC Internacional
Diego Rosa,EC Bahia,SC Internacional
Diego Rosa,Lommel SK,EC Bahia
Dieguinho,Goiás,Ceará SC
Dieguinho,Manauara,Sport Recife
Dieguinho,Sport Recife,Manauara
Diogo Barbosa,Fluminense FC,Fortaleza EC
Diogo Barbosa,Fluminense FC,Fortaleza EC
Dionísio,Brusque,EC Vitória
Dionísio,EC Vitória,Confiança
